LanguageHaveWorkedWith,WebframeHaveWorkedWith,ToolsTechHaveWorkedWith,MiscTechHaveWorkedWith,DevType,cluster
C#;HTML/CSS;JavaScript;SQL,ASP.NET;ASP.NET CORE;Blazor;jQuery,Docker;npm;NuGet;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8),Back-End Developer,0
C;C++;Kotlin;Objective-C;Python;Swift,,Catch2;CMake;SCons,OpenGL;Qt,Back-End Developer,3
HTML/CSS;JavaScript;PHP;Python;TypeScript,Express;Node.js;React,npm,React Native,Full-Stack Developer,3
Bash/Shell (all shells);C;HTML/CSS;JavaScript;PHP;SQL,jQuery;React,CMake;GNU GCC;Make;npm,,Full-Stack Developer,3
Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;PowerShell;Python;Ruby;SQL;TypeScript;VBA,ASP.NET CORE;Express;Next.js;Node.js;React,Chef;Docker;npm,,Full-Stack Developer,3
C++;Python,Flask,Pip,NumPy,Desktop Or Enterprise Applications Developer,1
Bash/Shell (all shells);C#;Dart;HTML/CSS;JavaScript;Python;SQL;TypeScript,Angular;ASP.NET;ASP.NET CORE;Deno;Express;Node.js;React,Docker;Gradle;Kubernetes;Maven (build tool);npm;NuGet;Pip;Terraform;Visual Studio Solution;Webpack;Yarn,.NET (5+) ;Flutter;Hadoop;NumPy;Pandas;RabbitMQ;React Native;Spring Framework,Front-End Developer,2
Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Python;SQL,Express;jQuery;Node.js;Spring Boot;Vue.js,Homebrew;Maven (build tool);npm;Pip,Pandas;Spring Framework,Research & Development Role,6
C#;HTML/CSS;JavaScript;SQL;TypeScript,Angular;AngularJS;ASP.NET;ASP.NET CORE;Node.js,Chocolatey;Docker;Kubernetes;MSBuild;NuGet;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8);RabbitMQ,Back-End Developer,0
C#;HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,Angular;ASP.NET;Django;Flask;Node.js;React;Ruby on Rails,CMake;Docker;Gradle;Homebrew;Kubernetes;Make;Maven (build tool);MSBuild;MSVC;npm;NuGet;Pip;Visual Studio Solution;Webpack;Yarn,.NET Framework (1.0 - 4.8);RabbitMQ;React Native;SwiftUI,Front-End Developer,2
C;C++;HTML/CSS;Java;JavaScript;PHP;SQL,jQuery;Spring Boot,Composer;Docker;Gradle;Kubernetes;Maven (build tool);Podman,Quarkus;Spring Framework,Full-Stack Developer,5
C#,Angular;ASP.NET CORE,MSBuild;NuGet;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8),Full-Stack Developer,0
Java;JavaScript;SQL,,Docker;tunit,,Back-End Developer,3
Kotlin;Scala,Spring Boot,Ansible;Gradle;Homebrew;Nix,,Back-End Developer,5
Elixir;HTML/CSS;JavaScript;Kotlin;Python;SQL,Django;Next.js;Phoenix;React,Docker;Gradle;npm;pnpm;Terraform;Yarn,Electron,Full-Stack Developer,3
C;Go;HTML/CSS;Rust,,Cargo;Pacman;Podman,,Embedded Applications Or Devices Developer,1
C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,ASP.NET;ASP.NET CORE;jQuery;React,npm;NuGet;Pip;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8);Electron;Keras;NumPy;Scikit-Learn;TensorFlow,Full-Stack Developer,0
Java;JavaScript;Kotlin;Python;R;SQL;TypeScript,jQuery;Spring Boot,Ansible;Docker;Gradle;Homebrew;Kubernetes;npm,Spring Framework,Full-Stack Developer,5
JavaScript;TypeScript,Next.js;Node.js;React,npm;pnpm;Vite,,Full-Stack Developer,3
Bash/Shell (all shells);C#;C++;Dart;Go;HTML/CSS;Java;JavaScript;Objective-C;Perl;PHP;PowerShell;Python;Ruby;Rust;SQL;Swift;TypeScript;Visual Basic (.Net),ASP.NET;Express;Gatsby;jQuery;React;Ruby on Rails;Vue.js;WordPress,Cargo;Homebrew;Kubernetes;npm;Pip;Yarn,.NET (5+) ;.NET Framework (1.0 - 4.8),Data Or Business Analyst,0
Bash/Shell (all shells);Dart;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;Perl;PHP;SQL;Swift;TypeScript;VBA;Visual Basic (.Net),jQuery;Node.js;React;Spring Boot,Composer;Docker;Gradle;Homebrew;Maven (build tool);npm;Webpack;Yarn,Flutter,Full-Stack Developer,3
HTML/CSS;JavaScript;PHP;SQL;TypeScript,Express;jQuery;Laravel;Next.js;Node.js;React;Vue.js,Chocolatey;Composer;npm;Vite;Webpack;Yarn,,Full-Stack Developer,3
Bash/Shell (all shells);C;C++;Fortran;Go;Java;JavaScript;Kotlin;Lua;MATLAB;Objective-C;Perl;PHP;PowerShell;Python;SQL;TypeScript;VBA;Visual Basic (.Net),Express;jQuery;NestJS;Next.js;Node.js;React,Cargo;CMake;cppunit;Docker;GNU GCC;Homebrew;Kubernetes;LLVM's Clang;Make;Maven (build tool);MSBuild;MSVC;npm;QMake;Webpack,Electron;NumPy;OpenGL;Qt,Back-End Developer,3
Bash/Shell (all shells);C#;Delphi;Go;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Angular;ASP.NET;ASP.NET CORE;Blazor,Docker;LLVM's Clang;MSBuild;npm;NuGet;Terraform,.NET (5+) ;.NET Framework (1.0 - 4.8);Electron,Full-Stack Developer,0
C#;JavaScript;Lua;SQL;TypeScript,Angular;ASP.NET CORE;Node.js;Vue.js,Docker;Kubernetes;MSBuild;npm;NuGet;Visual Studio Solution;Webpack,.NET (5+) ;Apache Kafka;Flutter;RabbitMQ,Full-Stack Developer,3
Go;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Deno;Django;Laravel;React;WordPress,Composer;Docker;Homebrew;npm;Pip,,Full-Stack Developer,3
Assembly;Bash/Shell (all shells);C#;JavaScript;Python;SQL,ASP.NET;Flask;jQuery;Node.js,Chocolatey;MSBuild;npm;Pip,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;Xamarin,Full-Stack Developer,0
Bash/Shell (all shells);C#;Dart;Groovy;HTML/CSS;Java;JavaScript;Lua;Python;SQL;TypeScript,Angular;Django;FastAPI;Flask;Node.js;React;Spring Boot,Bun;CMake;Docker;Gradle;Kubernetes;Maven (build tool);npm,Flutter;NumPy;RabbitMQ;Spring Framework,Full-Stack Developer,5
C;C#;C++;Go;HTML/CSS;JavaScript;TypeScript,Angular;ASP.NET;ASP.NET CORE;Blazor;NestJS,Docker;npm;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8),Full-Stack Developer,0
Bash/Shell (all shells);HTML/CSS;JavaScript;Perl;PHP;PowerShell;SQL;VBA;Visual Basic (.Net),Django;jQuery;Laravel;Node.js;Symfony;Vue.js;WordPress,Docker;Kubernetes;Maven (build tool);Puppet,.NET (5+) ;Hadoop,Full-Stack Developer,3
Zig,,,,Project Manager,6
C#;Go;JavaScript;PHP;SQL;TypeScript;Visual Basic (.Net),ASP.NET;ASP.NET CORE;Express;Laravel;Next.js;Node.js;React,APT;Docker;Kubernetes;Make;NuGet;Vite;Yarn,.NET (5+) ;.NET Framework (1.0 - 4.8);RabbitMQ;React Native,Full-Stack Developer,0
C#;JavaScript;Python;SQL;TypeScript,ASP.NET;ASP.NET CORE;FastAPI;NestJS;React,Docker;Kubernetes;npm;NuGet;Pip,.NET (5+) ;NumPy;Pandas;RabbitMQ;React Native;Xamarin,Full-Stack Developer,3
HTML/CSS;JavaScript;PHP,Symfony,Composer;Docker;Homebrew,,Back-End Developer,3
C;C++;Cobol;Python;Rust,,Cargo;GNU GCC;LLVM's Clang,NumPy;Pandas;Scikit-Learn,Data Or Business Analyst,6
C#;PowerShell;Python;R;SQL,,,,Data Engineer,6
C;C++;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Express;Next.js;React,Composer;Make;npm;Webpack,,Full-Stack Developer,3
C#;JavaScript;SQL;TypeScript;Visual Basic (.Net),ASP.NET;ASP.NET CORE;jQuery,Kubernetes;MSBuild;npm;Yarn,.NET (5+) ;.NET Framework (1.0 - 4.8),Full-Stack Developer,0
C;HTML/CSS;JavaScript;PHP;SQL,jQuery;React;WordPress,npm,,Back-End Developer,3
HTML/CSS;JavaScript;PowerShell;Rust;SQL;TypeScript,Express;Next.js;Node.js,Cargo;Docker;npm;Vite;Webpack,Tauri,Full-Stack Developer,3
Ada,FastAPI,bandit;CUTE;Google Test,Uno Platform,Marketing Or Sales Professional,3
HTML/CSS;Java;JavaScript,Express;Node.js;React,npm;Vite;Yarn,,Full-Stack Developer,3
C#;HTML/CSS;JavaScript;SQL;TypeScript,Angular;ASP.NET;ASP.NET CORE;jQuery,Docker;npm;Webpack;Yarn,.NET (5+) ;.NET Framework (1.0 - 4.8);Cordova;Flutter;RabbitMQ,Back-End Developer,0
C#;Dart;Go;JavaScript;TypeScript,Angular;Node.js;React,Docker;Kubernetes;npm;NuGet,.NET (5+) ;Flutter,Full-Stack Developer,3
HTML/CSS;Java;JavaScript;TypeScript,React;Spring Boot,Kubernetes;Maven (build tool);Vite;Webpack;Yarn,,Devops Specialist,5
C#;JavaScript;SQL,ASP.NET CORE;jQuery,Visual Studio Solution,.NET Framework (1.0 - 4.8),Full-Stack Developer,0
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;TypeScript,Express;FastAPI;NestJS;Next.js;Node.js;React,Nix;npm;Podman;Vite;Webpack,,Front-End Developer,2
Bash/Shell (all shells);Clojure;Java;JavaScript;Python;SQL;TypeScript,React,npm;Podman,,Full-Stack Developer,3
JavaScript;TypeScript,Angular;NestJS;Node.js;React,Ansible;Docker;npm;Pacman;pnpm;Terraform;Vite,,Full-Stack Developer,3
C;C#;C++;Python;Rust,,,GTK;Xamarin,Desktop Or Enterprise Applications Developer,1
JavaScript;Python;Rust;TypeScript,NestJS;Node.js,Ansible;Cargo;Docker;Pip,GTK;RabbitMQ;Tauri,Full-Stack Developer,3
C#;SQL,Angular;ASP.NET;ASP.NET CORE;jQuery;React,,.NET (5+) ;.NET Framework (1.0 - 4.8),Full-Stack Developer,0
Java;SQL,Spring Boot,Docker;Maven (build tool);Terraform,RabbitMQ,Cloud Infrastructure Engineer,5
JavaScript;Python;Rust,,Cargo;npm;Webpack,OpenGL,Research & Development Role,6
Bash/Shell (all shells);Java,,Ant;Maven (build tool),Spring Framework,Back-End Developer,5
HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript,Express;Next.js;Node.js;React;Spring Boot;WordPress,Docker;Maven (build tool);npm,Ktor;React Native;Spring Framework,Qa Or Test Developer,5
Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Kotlin;TypeScript,React,APT;Docker;Gradle;Homebrew;npm;Vite;Webpack,,Full-Stack Developer,3
C#;PowerShell;SQL;TypeScript,Angular;ASP.NET CORE;Blazor;Node.js,npm;NuGet;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8);RabbitMQ,Full-Stack Developer,0
JavaScript;TypeScript,Angular;NestJS;Next.js;Node.js,Docker;npm,Apache Kafka,"Senior Executive (C-Suite, Vp, Etc.)",6
C;C++;Groovy;Java;JavaScript;Kotlin;MATLAB;Python;Rust;Solidity;TypeScript,,Cargo;CMake;cppunit;Docker;GNU GCC;Google Test;Homebrew;Kubernetes;LLVM's Clang;Make;Maven (build tool);MSVC;npm;Pip;Podman,,Embedded Applications Or Devices Developer,1
Assembly;Bash/Shell (all shells);C;C++;Python;Rust,,CMake;GNU GCC;LLVM's Clang;Make,,Embedded Applications Or Devices Developer,1
C++;HTML/CSS;JavaScript;Python;TypeScript,Express;Node.js;React,,NumPy;Pandas,Full-Stack Developer,3
Bash/Shell (all shells);Java;JavaScript;Python;SQL,Django;Flask;React,Ansible;Docker;Homebrew;Maven (build tool);npm;Pip;Terraform;Unreal Engine;Yarn,Apache Kafka;RabbitMQ,Devops Specialist,6
HTML/CSS;Java;JavaScript;Kotlin;Objective-C;PHP;SQL;Swift;TypeScript,Angular;AngularJS;CodeIgniter;Express;jQuery;Laravel;Node.js;Svelte;Symfony;Vue.js;WordPress,APT;Composer;Docker;Gradle;Homebrew;LLVM's Clang;Maven (build tool);npm;Vite;Webpack;Yarn,Cordova;Electron;Flutter;Ionic;React Native;SwiftUI,Mobile Developer,4
Bash/Shell (all shells);C;C++;Lua;MATLAB,Node.js,Ansible;Catch2;CMake;Google Test,,Embedded Applications Or Devices Developer,1
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,FastAPI;Flask;Node.js;React,Homebrew;Make;npm;Pip;Vite,Pandas,System Administrator,3
Python;SQL,Django;FastAPI,Docker,CUDA;NumPy;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,"Senior Executive (C-Suite, Vp, Etc.)",6
Bash/Shell (all shells);C;C++;JavaScript;Python;SQL;TypeScript,Flask;Next.js;Node.js;React,CMake;Docker;Make;npm,Apache Spark;NumPy;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,Data Engineer,6
TypeScript,NestJS;Next.js;Node.js,Docker;Homebrew;npm,,Full-Stack Developer,3
C;C++;Java;JavaScript;Kotlin;Python;SQL,Flask;Node.js;React;Spring Boot,CMake;GNU GCC;Make;Maven (build tool);npm;Pip,Spring Framework,Full-Stack Developer,5
Objective-C;Swift,,Homebrew;LLVM's Clang,SwiftUI,Engineering Manager,6
C++;Go;Python,,Docker;Gradle;LLVM's Clang;MSBuild;MSVC;Pip;Unreal Engine;Visual Studio Solution,,Game Or Graphics Developer,3
Assembly;C;C#;C++;Lisp;Python,ASP.NET,Docker;GNU GCC;LLVM's Clang;npm;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;GTK;OpenGL;Qt,Back-End Developer,0
C#,,MSBuild,.NET (5+) ,Back-End Developer,3
Assembly;Bash/Shell (all shells);C;C++;Go;HTML/CSS;Java;JavaScript;Lua;PHP;PowerShell;Python;Rust;SQL;TypeScript,Deno;Django;Express;Flask;Laravel;Node.js;React;Symfony;Vue.js;WordPress,Ansible;APT;Cargo;Chocolatey;CMake;Composer;Docker;GNU GCC;Homebrew;Kubernetes;LLVM's Clang;Make;Meson;Ninja;npm;NuGet;Pacman;Pip;Podman;Terraform;Webpack;Yarn,Electron;GTK;Qt;RabbitMQ,Cloud Infrastructure Engineer,6
HTML/CSS;JavaScript;PHP;Python;TypeScript,Angular;Node.js;WordPress,npm,,Front-End Developer,2
Java;JavaScript;Python,React,,,Back-End Developer,3
Bash/Shell (all shells);C#;JavaScript;Python;TypeScript;Visual Basic (.Net),ASP.NET CORE;Django;jQuery;Node.js;React,Chocolatey;Docker;Pip;Vite;Yarn,.NET Framework (1.0 - 4.8),Full-Stack Developer,0
C#;HTML/CSS;JavaScript;SQL;Visual Basic (.Net),ASP.NET;ASP.NET CORE;jQuery,MSBuild;NuGet;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI,Full-Stack Developer,0
Bash/Shell (all shells);C;C++;Dart;HTML/CSS;Java;JavaScript;MATLAB;PHP;Python;Solidity,Django;Express;jQuery;Next.js;Node.js;React;Spring Boot,Docker;Gradle;Maven (build tool);npm;Yarn,Flutter;Hadoop;Pandas;Scikit-Learn;Spring Framework,Full-Stack Developer,5
JavaScript;Kotlin;Python;TypeScript,Node.js;React,Ant;npm;Webpack,,Full-Stack Developer,3
C;C#;C++;F#;Python;Rust;Scala;TypeScript,Next.js;React,Chocolatey;Pip;Webpack,,Full-Stack Developer,3
Bash/Shell (all shells);Dart;Groovy;HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;Python;SQL;TypeScript,Angular;AngularJS;Django;FastAPI;jQuery;Laravel;Node.js;React;Ruby on Rails;Spring Boot;Symfony;Vue.js,Ant;APT;CMake;Composer;Docker;Gradle;Kubernetes;Make;Maven (build tool);npm;NuGet;Pip;Webpack;Yarn,CUDA;Flutter;JAX;Keras;NumPy;Opencv;Pandas;RabbitMQ;React Native;Scikit-Learn;Spring Framework;TensorFlow,"Senior Executive (C-Suite, Vp, Etc.)",6
C#;HTML/CSS;JavaScript;PHP;Swift;TypeScript,Angular;ASP.NET CORE;Node.js;React;WordPress,Docker;Homebrew;npm;NuGet,,Embedded Applications Or Devices Developer,1
C#;HTML/CSS;JavaScript;TypeScript,ASP.NET;ASP.NET CORE;React,Docker;npm;NuGet;Vite,.NET (5+) ;.NET Framework (1.0 - 4.8),Full-Stack Developer,0
C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,ASP.NET CORE;Blazor;Vue.js,Docker;Kubernetes;MSBuild;npm;NuGet;Webpack,.NET (5+) ;.NET Framework (1.0 - 4.8),Full-Stack Developer,0
C++;JavaScript;Python;SQL,Django;Flask,CMake;Docker;Make;npm;Pip,CUDA;NumPy;Opencv;Pandas;Scikit-Learn;Torch/PyTorch,Data Scientist Or Machine Learning Specialist,6
C#;Go;HTML/CSS;Python,ASP.NET CORE,Pip,.NET (5+) ,Qa Or Test Developer,3
Assembly;C;PowerShell;Python;Rust,Svelte,Cargo;Chocolatey;Docker;Make;Pip,Pandas,Embedded Applications Or Devices Developer,1
C;C++;Python,,CMake;Google Test;LLVM's Clang;Pip,NumPy;Opencv;Pandas;Qt,Desktop Or Enterprise Applications Developer,1
Java;Kotlin,Spring Boot,Docker;Gradle;Homebrew;Kubernetes;Maven (build tool),Apache Kafka;Ktor;Spring Framework,Back-End Developer,5
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;TypeScript,Angular;Express;Node.js,npm;Webpack,,Full-Stack Developer,3
HTML/CSS;JavaScript;SQL;Swift;TypeScript,AngularJS;Node.js;React,Webpack;Yarn,React Native,Mobile Developer,4
Kotlin,Node.js,Docker;Kubernetes;Maven (build tool);npm;Terraform,,Devops Specialist,6
Bash/Shell (all shells);C#;C++;HTML/CSS;JavaScript;Python;TypeScript,Express;Node.js;React;WordPress,CMake;Docker;Homebrew;MSVC;npm;Terraform;Unity 3D;Webpack,.NET Framework (1.0 - 4.8);Electron;Opencv,Full-Stack Developer,3
HTML/CSS;JavaScript;Python,Flask,Pip;Podman,,System Administrator,3
C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,ASP.NET;ASP.NET CORE;Django;React,Terraform,.NET (5+) ;.NET Framework (1.0 - 4.8);Apache Spark;React Native;TensorFlow,Engineering Manager,0
C#;HTML/CSS;JavaScript;SQL,ASP.NET CORE;WordPress,MSBuild;npm;NuGet;Visual Studio Solution,.NET (5+) ,Product Manager,0
C++;Go;HTML/CSS;Rust;SQL;TypeScript,Svelte,Docker;Homebrew,,Back-End Developer,3
Bash/Shell (all shells);HTML/CSS;JavaScript;SQL;TypeScript,NestJS;Node.js;React,Homebrew;Kubernetes;npm;Terraform;Webpack;Yarn,,Full-Stack Developer,3
HTML/CSS;JavaScript;SQL;TypeScript,Angular;CodeIgniter;FastAPI;Laravel;Next.js;Node.js;React;Vue.js;WordPress,Composer;npm;pnpm;Vite;Webpack;Yarn,Ionic;React Native,Front-End Developer,2
Dart;HTML/CSS;JavaScript;TypeScript,Django;React,Docker;npm;Webpack;Yarn,,Front-End Developer,2
Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,NestJS;Next.js;Node.js;React;Vue.js,npm;pnpm;Vite,,Front-End Developer,2
Bash/Shell (all shells);C++;Python,,CMake;GNU GCC;LLVM's Clang;Make;MSVC,,Desktop Or Enterprise Applications Developer,1
Dart;Kotlin;Swift,,,Flutter;SwiftUI,Mobile Developer,4
C;C#;C++;Delphi;HTML/CSS;JavaScript;PHP;Python;SQL,AngularJS;ASP.NET;ASP.NET CORE;jQuery,,,Full-Stack Developer,3
HTML/CSS;JavaScript;PowerShell;Python;TypeScript,AngularJS;Express;Gatsby;jQuery;Next.js;Node.js;React;WordPress,Docker;npm;Vite;Webpack;Yarn,,Full-Stack Developer,3
C;Dart;Java;JavaScript;Kotlin;Python;Rust;SQL;TypeScript,,Docker;Maven (build tool);npm;Pip,Flutter;Spring Framework,Full-Stack Developer,5
Bash/Shell (all shells);C#;Python;SQL,ASP.NET CORE,Docker;Kubernetes;Terraform,.NET (5+) ,Back-End Developer,3
C++;HTML/CSS;JavaScript;PowerShell;Python;Rust;TypeScript,Express;Fastify;Node.js;React;Vue.js,Cargo;pnpm;Unreal Engine;Vite,Tauri,Full-Stack Developer,3
HTML/CSS;Python;Rust;TypeScript,Svelte,Cargo;Homebrew,Pandas;Torch/PyTorch,Data Engineer,6
C++;Groovy;HTML/CSS;Java;JavaScript;Rust;SQL;TypeScript,Angular;Express;Spring Boot,Cargo;Docker;Gradle;Kubernetes;MSVC;npm;Terraform;Unreal Engine;Webpack,RabbitMQ;Spring Framework,Full-Stack Developer,3
Go;HTML/CSS;JavaScript;Rust;SQL;TypeScript,Lit;Svelte,Docker;Homebrew;Make;Maven (build tool);Podman;Terraform,RabbitMQ,Desktop Or Enterprise Applications Developer,1
Bash/Shell (all shells);Java;JavaScript;TypeScript,React,Docker;Gradle;npm;Yarn,,Full-Stack Developer,3
JavaScript,Vue.js,npm,,Front-End Developer,2
Bash/Shell (all shells);C;C++;Clojure;Java;JavaScript;PHP;Python;Rust;SQL,React,Cargo;CMake;Make;MSBuild;npm;Visual Studio Solution,,Back-End Developer,3
Bash/Shell (all shells);C;JavaScript;Lua;Python;Rust,,Cargo;CMake;Docker;GNU GCC;Make;Meson;Ninja,OpenGL;Tauri,Back-End Developer,3
Bash/Shell (all shells);MATLAB;Python,,Homebrew;LLVM's Clang,NumPy;Opencv;Pandas;Scikit-Learn;Torch/PyTorch,Data Or Business Analyst,6
C#;JavaScript;Python;TypeScript,Next.js;Node.js;React,,.NET (5+) ;.NET Framework (1.0 - 4.8),Full-Stack Developer,0
HTML/CSS;JavaScript;Objective-C;TypeScript,Next.js;Node.js;Nuxt.js;Vue.js,Composer;Gradle;Homebrew,React Native,Engineering Manager,6
HTML/CSS;JavaScript;Python;TypeScript,Express;Flask;Next.js;Node.js;React,npm;pnpm;Vite;Webpack;Yarn,Electron;React Native,Front-End Developer,2
Bash/Shell (all shells);C#;C++;Delphi;Groovy;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript,AngularJS;ASP.NET;ASP.NET CORE;Django;Express;Flask;Node.js;React;Spring Boot;Vue.js,Ansible;Ant;Chocolatey;Docker;Gradle;Kubernetes;Make;Maven (build tool);MSBuild;npm;NuGet;Terraform;Webpack;Yarn,.NET Framework (1.0 - 4.8);Apache Kafka;Cordova;RabbitMQ;React Native;Spring Framework,Devops Specialist,6
Bash/Shell (all shells);Java;JavaScript;Python,Spring Boot,Docker;Gradle;Maven (build tool);npm;Yarn,Spring Framework,Back-End Developer,5
Bash/Shell (all shells);Groovy;Python,,Docker,,Devops Specialist,6
C;C++;Rust,,CMake;GNU GCC;LLVM's Clang;Make;MSVC;SCons,CUDA;OpenGL;SwiftUI,Game Or Graphics Developer,3
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;SQL,Spring Boot;Vue.js,Docker;Homebrew;Kubernetes;Make;Maven (build tool);npm;Vite,RabbitMQ;Spring Framework,Full-Stack Developer,5
Dart;HTML/CSS;JavaScript;PHP;Rust;SQL;TypeScript,Angular;AngularJS;Symfony,Cargo;Composer;Docker;npm;Webpack,Flutter,Full-Stack Developer,3
C#;SQL,,MSBuild;NuGet;Visual Studio Solution,.NET (5+) ,Back-End Developer,0
Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;PowerShell;Prolog;Python;SQL;TypeScript,Angular;ASP.NET;ASP.NET CORE;React,Docker;MSBuild;MSVC;npm;NuGet;Pip;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8);NumPy;Pandas;RabbitMQ;React Native,Full-Stack Developer,0
C#;F#;JavaScript;PowerShell;SQL;TypeScript,ASP.NET;ASP.NET CORE;jQuery;Next.js;React,Chocolatey;Docker;npm;NuGet;Terraform;Visual Studio Solution;Vite;Webpack,.NET (5+) ;.NET Framework (1.0 - 4.8);Electron,Full-Stack Developer,0
Ada;C;C#;HTML/CSS;JavaScript;Rust;TypeScript,React,Cargo;npm,,Full-Stack Developer,3
HTML/CSS;JavaScript;PHP;TypeScript,Deno;Laravel;Next.js;Node.js;React;Solid.js;Svelte,Cargo;Composer;Make;npm;pnpm;Vite;Webpack;Yarn,Qt;Tauri,Full-Stack Developer,3
C#;HTML/CSS;JavaScript;PowerShell;SQL,ASP.NET CORE;jQuery,NuGet,.NET (5+) ,Full-Stack Developer,3
C;C++;Java;JavaScript;Python;SQL,FastAPI;Flask;Vue.js,Chocolatey;Docker;Homebrew;Kubernetes;Maven (build tool);npm;Pip;pnpm,Hugging Face Transformers;Keras;NumPy;Quarkus;TensorFlow;Torch/PyTorch,Back-End Developer,3
Java;TypeScript,Angular;React,Maven (build tool);npm,Spring Framework,Full-Stack Developer,5
C#;Python;SQL,Angular;ASP.NET CORE;Flask,GNU GCC;MSBuild;npm;NuGet;Pip,.NET (5+) ;Apache Kafka;Apache Spark;Keras;Opencv;Pandas;TensorFlow,Data Engineer,6
C++;Java;Kotlin;Ruby,Ruby on Rails;Spring Boot,Docker;GNU GCC;Gradle;Kubernetes;Maven (build tool);Pip,Apache Kafka;Micronaut,Back-End Developer,5
C#;Java;JavaScript;PowerShell;Python;SQL;TypeScript,Angular;ASP.NET CORE;Express;React;WordPress,Chocolatey;Docker;Kubernetes;MSBuild;npm;NuGet;Terraform;Visual Studio Solution;Webpack,.NET (5+) ;.NET Framework (1.0 - 4.8),Full-Stack Developer,0
C#;C++;HTML/CSS;JavaScript;PowerShell;SQL,ASP.NET;ASP.NET CORE;jQuery,Chocolatey;npm;NuGet,.NET (5+) ;Apache Kafka,Back-End Developer,3
C#;TypeScript,Angular;ASP.NET CORE;Node.js,Docker;Kubernetes;npm;NuGet;Podman;Terraform;Visual Studio Solution,.NET (5+) ,Full-Stack Developer,0
Python,,Docker;Homebrew,Hugging Face Transformers;NumPy;Pandas;Scikit-Learn,Data Scientist Or Machine Learning Specialist,6
C;C++;Go;JavaScript;Python;SQL;TypeScript,Express;React;Svelte,Ansible;GNU GCC;Homebrew;Make;Terraform;Yarn,CUDA,Full-Stack Developer,3
C++;Elixir;Erlang;Java;PHP;Ruby;Rust,ASP.NET CORE;Django;Express;Flask;Laravel;Next.js;Node.js;Ruby on Rails;Spring Boot;Svelte;Symfony;WordPress,Cargo;Composer;Docker;Kubernetes;Make;npm;Pip;Terraform;Yarn,.NET (5+) ;Apache Kafka;Spring Framework,Full-Stack Developer,3
Java,,Docker;Gradle;Homebrew;Kubernetes;Maven (build tool);Pip,Apache Kafka;Spring Framework,Back-End Developer,5
C#;PowerShell;SQL,ASP.NET;ASP.NET CORE;jQuery,Cargo;Chocolatey;MSBuild;NuGet,.NET (5+) ,Full-Stack Developer,3
HTML/CSS;Java;JavaScript;Perl;PHP;PowerShell;Python;SQL,WordPress,Ansible;Chocolatey;Gradle,,Database Administrator,3
Java;Kotlin,jQuery;Spring Boot;Vue.js,Docker;Gradle;Homebrew;Kubernetes;Maven (build tool),Apache Kafka;Ktor;RabbitMQ;Spring Framework,Back-End Developer,5
C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,AngularJS;ASP.NET;ASP.NET CORE;React,Docker;npm;NuGet;Pip;Webpack,.NET (5+) ;.NET Framework (1.0 - 4.8),Back-End Developer,0
Assembly;Bash/Shell (all shells);C;C#;C++;Java,ASP.NET;ASP.NET CORE;Blazor,Docker;Gradle;Make;Maven (build tool);NuGet;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;Xamarin,Full-Stack Developer,0
